NUMBER_OF_CELLS
22500
NUMBER_OF_STATES
2
ACTIVITY, STATESCOUNT
7,22493,7
11,22492,8
10,22490,10
5,22489,11
6,22489,11
2,22487,13
4,22485,15
10,22485,15
13,22482,18
14,22480,20
14,22470,30
25,22481,19
23,22486,14
11,22483,17
15,22480,20
12,22476,24
16,22472,28
18,22472,28
31,22475,25
14,22471,29
19,22468,32
16,22458,42
28,22462,38
31,22453,47
43,22448,52
44,22460,40
40,22466,34
33,22459,41
33,22458,42
29,22451,49
32,22443,57
45,22442,58
46,22450,50
36,22436,64
61,22437,63
50,22427,73
59,22432,68
40,22422,78
68,22408,92
64,22404,96
86,22404,96
92,22398,102
100,22408,92
90,22434,66
61,22433,67
68,22437,63
57,22432,68
64,22436,64
53,22427,73
67,22434,66
54,22404,96
92,22434,66
61,22431,69
73,22434,66
50,22434,66
53,22433,67
61,22438,62
46,22436,64
39,22429,71
52,22427,73
47,22422,78
54,22428,72
54,22422,78
71,22427,73
72,22417,83
79,22412,88
77,22415,85
62,22418,82
52,22417,83
58,22406,94
63,22406,94
65,22407,93
70,22400,100
71,22401,99
92,22413,87
72,22405,95
73,22419,81
62,22398,102
82,22404,96
83,22389,111
74,22405,95
65,22404,96
77,22400,100
82,22413,87
72,22416,84
71,22396,104
66,22415,85
68,22410,90
63,22415,85
80,22412,88
79,22416,84
76,22415,85
62,22423,77
74,22414,86
65,22416,84
77,22402,98
61,22424,76
70,22418,82
58,22427,73
72,22419,81
69,22424,76
51,22417,83
51,22415,85
59,22412,88
75,22406,94
78,22410,90
70,22405,95
62,22416,84
85,22396,104
62,22390,110
63,22387,113
86,22386,114
77,22370,130
98,22376,124
102,22368,132
106,22384,116
109,22365,135
106,22379,121
111,22350,150
124,22377,123
127,22348,152
140,22358,142
100,22367,133
106,22358,142
118,22327,173
129,22341,159
125,22319,181
147,22334,166
162,22316,184
131,22318,182
158,22308,192
119,22339,161
120,22326,174
107,22341,159
124,22330,170
129,22331,169
153,22321,179
129,22332,168
137,22329,171
146,22313,187
174,22321,179
127,22336,164
138,22344,156
124,22342,158
115,22349,151
122,22345,155
136,22347,153
130,22349,151
135,22337,163
134,22328,172
148,22351,149
118,22350,150
133,22343,157
118,22357,143
112,22353,147
119,22364,136
128,22352,148
122,22356,144
117,22362,138
114,22354,146
113,22364,136
128,22351,149
125,22347,153
135,22331,169
123,22338,162
138,22330,170
138,22330,170
141,22331,169
145,22334,166
133,22328,172
130,22329,171
157,22331,169
149,22325,175
106,22345,155
126,22350,150
120,22349,151
104,22325,175
145,22345,155
111,22322,178
143,22345,155
116,22351,149
127,22345,155
115,22340,160
118,22345,155
138,22325,175
124,22348,152
112,22332,168
117,22333,167
133,22312,188
135,22323,177
112,22334,166
124,22327,173
126,22331,169
105,22352,148
136,22330,170
122,22332,168
123,22343,157
112,22343,157
121,22342,158
126,22322,178
125,22331,169
146,22326,174
149,22321,179
139,22330,170
128,22331,169
147,22318,182
166,22309,191
160,22288,212
156,22317,183
170,22307,193
165,22319,181
154,22321,179
165,22327,173
130,22330,170
133,22341,159
131,22333,167
135,22329,171
125,22333,167
156,22321,179
121,22338,162
116,22354,146
125,22349,151
126,22339,161
134,22339,161
141,22330,170
139,22325,175
153,22323,177
135,22322,178
155,22322,178
137,22321,179
152,22304,196
155,22317,183
140,22330,170
134,22348,152
123,22343,157
122,22349,151
112,22348,152
96,22354,146
94,22356,144
111,22350,150
129,22346,154
123,22339,161
137,22327,173
135,22352,148
136,22343,157
121,22363,137
110,22359,141
117,22357,143
107,22362,138
127,22352,148
111,22351,149
139,22341,159
118,22356,144
102,22357,143
108,22351,149
101,22355,145
108,22350,150
113,22337,163
124,22339,161
126,22343,157
122,22336,164
125,22328,172
117,22343,157
96,22349,151
104,22345,155
112,22354,146
95,22343,157
100,22345,155
111,22335,165
105,22345,155
112,22316,184
130,22328,172
112,22333,167
106,22321,179
